"month","day1-5","day6-10","day11-15","day16-20","day21-25","day26-30"
27,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
28,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
29,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
30,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
31,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
32,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
33,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
34,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
35,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
36,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
37,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
38,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
39,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
40,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
41,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
42,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
43,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
44,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
45,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
46,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
47,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
48,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
49,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
50,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
51,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
52,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
53,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
54,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
55,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
56,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
57,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
58,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
59,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
60,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09,2.12066345847147e-09
