year,month,0-9y,10-19y,20-29y,30-39y,40-49y,50-59y,60-69y,70-79y,80yr+,Vaccine,cov1,0.6,,,,0-9y,10-19y,20-29y,30-39y,40-49y,50-59y,60-69y,70-79y,80yr+,
2021,12,0,0,0.352856785478907,0.367506883247197,0.387734717787612,0.420097813166269,0.507855684752188,0.6,0.6,2,,0,0,0,6,0,0,0,0,0,0,0,0,0,
2022,1,0,0,0.352856785478907,0.367506883247197,0.387734717787612,0.420097813166269,0.507855684752188,0.6,0.6,2,,0.166666666666667,0.166666666666667,0.166666666666667,7,0,0,3.19374774234181E-02,0.030643713948908,2.88573754608832E-02,2.59993610376879E-02,0.020941386720395,0.012804038332905,0.012804038332905,
2022,2,0,0,0.352856785478907,0.367506883247197,0.387734717787612,0.420097813166269,0.507855684752188,0.6,0.6,2,,0.166666666666667,0.166666666666667,0.166666666666667,8,0,0,6.38749548468362E-02,0.061287427897816,5.77147509217664E-02,5.19987220753758E-02,0.04188277344079,2.56080766658101E-02,2.56080766658101E-02,
2022,3,0,0,0.352856785478907,0.367506883247197,0.387734717787612,0.420097813166269,0.507855684752188,0.6,0.6,2,,0.166666666666667,0.166666666666667,0.166666666666667,9,0,0,9.58124322702543E-02,0.091931141846724,8.65721263826495E-02,7.79980831130637E-02,0.062824160161185,3.84121149987151E-02,3.84121149987151E-02,
2022,4,0,0,0.352856785478907,0.367506883247197,0.387734717787612,0.420097813166269,0.507855684752188,0.6,0.6,2,,0.166666666666667,0.166666666666667,0.166666666666667,10,0,0,0.127749909693672,0.122574855795632,0.115429501843533,0.103997444150752,8.37655468815801E-02,5.12161533316201E-02,5.12161533316201E-02,
2022,5,0,0,0.352856785478907,0.367506883247197,0.387734717787612,0.420097813166269,0.507855684752188,0.6,0.6,2,,0.166666666666667,0.166666666666667,0.166666666666667,11,0,0,0.15968738711709,0.15321856974454,0.144286877304416,0.129996805188439,0.104706933601975,6.40201916645252E-02,6.40201916645252E-02,
2022,6,0,0,0.352856785478907,0.367506883247197,0.387734717787612,0.420097813166269,0.507855684752188,0.6,0.6,2,,0.166666666666667,0.166666666666667,0.166666666666667,12,0,0,0.191624864540509,0.183862283693448,0.173144252765299,0.155996166226127,0.12564832032237,7.68242299974302E-02,7.68242299974302E-02,
2022,7,0,0,0.352856785478907,0.367506883247197,0.387734717787612,0.420097813166269,0.507855684752188,0.6,0.6,2,,,,,,,,,,,,,,,
2022,8,0,0,0.352856785478907,0.367506883247197,0.387734717787612,0.420097813166269,0.507855684752188,0.6,0.6,2,,,,,,,,,,,,,,,
2022,9,0,0,0.352856785478907,0.367506883247197,0.387734717787612,0.420097813166269,0.507855684752188,0.6,0.6,2,,,,,,,,,,,,,,,
2022,10,0,0,0.352856785478907,0.367506883247197,0.387734717787612,0.420097813166269,0.507855684752188,0.6,0.6,2,,,,,,,,,,,,,,,
2022,11,0,0,0.352856785478907,0.367506883247197,0.387734717787612,0.420097813166269,0.507855684752188,0.6,0.6,2,,,,,,,,,,,,,,,
2022,12,0,0,0.352856785478907,0.367506883247197,0.387734717787612,0.420097813166269,0.507855684752188,0.6,0.6,2,,,,,,,,,,,,,,,
2023,1,0,0,0.352856785478907,0.367506883247197,0.387734717787612,0.420097813166269,0.507855684752188,0.6,0.6,2,,,,,,,,,,,,,,,
2023,2,0,0,0.352856785478907,0.367506883247197,0.387734717787612,0.420097813166269,0.507855684752188,0.6,0.6,2,,,,,,,,,,,,,,,
2023,3,0,0,0.352856785478907,0.367506883247197,0.387734717787612,0.420097813166269,0.507855684752188,0.6,0.6,2,,,,,,,,,,,,,,,
2023,4,0,0,0.352856785478907,0.367506883247197,0.387734717787612,0.420097813166269,0.507855684752188,0.6,0.6,2,,,,,,,,,,,,,,,
2023,5,0,0,0.352856785478907,0.367506883247197,0.387734717787612,0.420097813166269,0.507855684752188,0.6,0.6,2,,,,,,,,,,,,,,,
2023,6,0,0,0.352856785478907,0.367506883247197,0.387734717787612,0.420097813166269,0.507855684752188,0.6,0.6,2,,,,,,,,,,,,,,,
2023,7,0,0,0.352856785478907,0.367506883247197,0.387734717787612,0.420097813166269,0.507855684752188,0.6,0.6,2,,,,,,,,,,,,,,,
2023,8,0,0,0.352856785478907,0.367506883247197,0.387734717787612,0.420097813166269,0.507855684752188,0.6,0.6,2,,,,,,,,,,,,,,,
2023,9,0,0,0.352856785478907,0.367506883247197,0.387734717787612,0.420097813166269,0.507855684752188,0.6,0.6,2,,,,,,,,,,,,,,,
2023,10,0,0,0.352856785478907,0.367506883247197,0.387734717787612,0.420097813166269,0.507855684752188,0.6,0.6,2,,,,,,,,,,,,,,,
2023,11,0,0,0.352856785478907,0.367506883247197,0.387734717787612,0.420097813166269,0.507855684752188,0.6,0.6,2,,,,,,,,,,,,,,,
2023,12,0,0,0.352856785478907,0.367506883247197,0.387734717787612,0.420097813166269,0.507855684752188,0.6,0.6,2,,,,,,,,,,,,,,,
2024,1,0,0,0.352856785478907,0.367506883247197,0.387734717787612,0.420097813166269,0.507855684752188,0.6,0.6,2,,,,,,,,,,,,,,,
2024,2,0,0,0.352856785478907,0.367506883247197,0.387734717787612,0.420097813166269,0.507855684752188,0.6,0.6,2,,,,,,,,,,,,,,,
2024,3,0,0,0.352856785478907,0.367506883247197,0.387734717787612,0.420097813166269,0.507855684752188,0.6,0.6,2,,,,,,,,,,,,,,,
2024,4,0,0,0.352856785478907,0.367506883247197,0.387734717787612,0.420097813166269,0.507855684752188,0.6,0.6,2,,,,,,,,,,,,,,,
2024,5,0,0,0.352856785478907,0.367506883247197,0.387734717787612,0.420097813166269,0.507855684752188,0.6,0.6,2,,,,,,,,,,,,,,,
2024,6,0,0,0.352856785478907,0.367506883247197,0.387734717787612,0.420097813166269,0.507855684752188,0.6,0.6,2,,,,,,,,,,,,,,,
2024,7,0,0,0.352856785478907,0.367506883247197,0.387734717787612,0.420097813166269,0.507855684752188,0.6,0.6,2,,,,,,,,,,,,,,,
2024,8,0,0,0.352856785478907,0.367506883247197,0.387734717787612,0.420097813166269,0.507855684752188,0.6,0.6,2,,,,,,,,,,,,,,,
2024,9,0,0,0.352856785478907,0.367506883247197,0.387734717787612,0.420097813166269,0.507855684752188,0.6,0.6,2,,,,,,,,,,,,,,,
2024,10,0,0,0.352856785478907,0.367506883247197,0.387734717787612,0.420097813166269,0.507855684752188,0.6,0.6,2,,,,,,,,,,,,,,,
2024,11,0,0,0.352856785478907,0.367506883247197,0.387734717787612,0.420097813166269,0.507855684752188,0.6,0.6,2,,,,,,,,,,,,,,,
2024,12,0,0,0.352856785478907,0.367506883247197,0.387734717787612,0.420097813166269,0.507855684752188,0.6,0.6,2,,,,,,,,,,,,,,,
